Sr. No.,work_id,Work category,work_category_code,State,IDA,MP,Elected/Nominated,Work description,Recommended date,Sanction Date,sanction_lag_days,sanction_amount,Work Status,work_status_code
14788,WS/MP18346/2024-2025/162434-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at the resident of Shri Hafiz Riyaz, public places, Village Bikai NTPC, Bikai, Unchahar, Rae Bareli at the request of Shri Hafiz Riyaz, Mob: 7843981286",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14789,WS/MP18346/2024-2025/162435-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at the near resident of Ram Milan, public place, Village Jodhi Khera, Harijan Basti, Maharajganj, Dundgarh, Bachhrawan, Rae Bareli at the requet of Ram Milan",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14790,WS/MP18346/2024-2025/162436-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light near resident of Shri Ashish Kumar S/o Hanuman, Village Gosain ka Purva,  Bairampur, Bacchrawan, Rae Bareli at the request of Sathguru Dev Lodhi, Mob: 9696986028",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14791,WS/MP18346/2024-2025/162437-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at the resident of Ramlal S/o Ahoravadin, public place, Village Balbadrakhera, Post Tilenda, Jeego, Bachhrawan, Rae Bareli at the request of Ramlal S/o Ahoravadin, Mob- 7084714061",2024-12-30,2025-02-19,51,19981.0,Vendor Identification,3
14792,WS/MP18346/2024-2025/162438-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at Premises of Kashishvar Temple, public place, Village Sirsa, Post Kekhruha at the request of Dilip Kumar S/o Kashi Prasad, Mob: 9455888509",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14793,WS/MP18346/2024-2025/162439-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at public place, resident of Chandrapal Yadav S/o Gajodhar, Village Badiha, Indora, Maharajganj, Rae Bareli at the request of Mohd. Tahir, Mob: 9532063900",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14794,WS/MP18346/2024-2025/162440-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light premises of Hanuman Mandir, Village Khusiyal Shivgarh, Kotwa, Shivgarh, Rae Bareli at the request of Shri Laxmikant Lodhi, Mob: 9918408487",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14795,WS/MP18346/2024-2025/162441-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Aashif  S/o Mohd. Usman Public Place, Village & PO - Guda, Shivgarh, Rae Bareli at the request of Aashif  S/o Mohd. Usman",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14796,WS/MP18346/2024-2025/162442-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light near  resident of  Abdul Khaliq,  Public Place, Village & PO - Guda, Shivgarh, Rae Bareli at the request of  Abdul Khaliq, Mob: 8840182254",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14797,WS/MP18346/2024-2025/162443-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Dhananjay Singh Chaudhary S/o Pratap Narayan Singh, Public Place, Village Chandapur, Guda, Shivgarh, Rae Bareli at the request of Dhananjay Singh Chaudhary S/o Pratap Narayan Singh, Mob: 9792232453",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14798,WS/MP18346/2024-2025/162444-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Mewalal Pasi, Public Place, Village Sarai Umar Dalit Basti, Harchandpur, Rae Bareli at the request of Mewalal Pasi, Mob: 9793241064",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14799,WS/MP18346/2024-2025/162445-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at premises of Hanuman Mandir, Village Thakurain Kheda, Rahnwa, Harchandpur, Rae Bareli at the request of Pramod Bajpai, Mob: 9870179708",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14800,WS/MP18346/2024-2025/162446-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at premises of Hanuman Mandir, Village Khijirpur Karaundi, Harchandpur, Rae Bareli at the request of Pramod Bajpai,Block President, Bhargav Singh S/o Late Shri. Raje Singh, Mob: 9129233060",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14801,WS/MP18346/2024-2025/162447-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light near resident of Shri Umashankar Lodhi S/o Late Sh. Kalideen Lodhi, Public Place, Vilalge Syoti, Harchandpur, Rae Bareli at the request of Shri Umashankar Lodhi, Mob: 9554033173",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14802,WS/MP18346/2024-2025/162448-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at premises of Shiv Mandir, Village Pure Lala Matiha, Akbarpur Kachwah, Rahi, Rae Bareli at the request of Shri Satish Kumar Srivastava S/o Late Sh. Shankar Sharan Srivastava",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14803,WS/MP18346/2024-2025/162449-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at premises of Hanuman Mandir, Village Ratanshipur, Post Tekaridandu, Rahi, Rae Bareli at the request of Shri Ganesh Shankar, Mob: 9140248977",2024-12-30,2025-02-19,51,19981.0,Vendor Identification,3
14804,WS/MP18346/2024-2025/162450-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Santosh Yadav, Public Place, Village Akbarpur Kachwah, Matiha, Rahi, Rae Bareli at the request of Shri Sahidul Hasan, Mob: 7524973611",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14805,WS/MP18346/2024-2025/162451-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Shri Rajesh Kumar S/o Jageshwar, Public Place, Village Sakra Ratansipur, Rahi, Rae Bareli at the request of Shri Shivanand Maurya, Mob: 8576039832",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14806,WS/MP18346/2024-2025/162452-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Shri Hansraj Maurya, Next to Well(Kuha), Umra, Rahi, Rae Bareli at the request of Hansraj Maurya, Mob: 8858827723",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14807,WS/MP18346/2024-2025/162453-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Shri Rahul Kumar S/o Rambaran, Public Place, Village Bandramau, Post Bhuemau, Rahi, Rae Bareli at the request of Shri Rahul Kumar S/o Rambaran, Mob: 8874433624",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14808,WS/MP18346/2024-2025/162454-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of near resident of Shri Niranjan Kumar Pal S/o Ramdayal, Public Place, Pure Sabhal, Belagusisi, Rahi, Rae Bareli at the request of  Shri Niranjan Kumar Pal S/o Ramdayal, Mob: 9794484185",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14809,WS/MP18346/2024-2025/162455-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Shri Ajay Pratap Singh S/o Sh. Jagannath Singh Chouhan, Public Place, Village Pure Gopal Singh, Belagusisi, Rahi, Rae Bareli at the request Shri Ajay Pratap Singh S/o Sh. Jagannath Singh Chouhan, Mob: 9839555391",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14810,WS/MP18346/2024-2025/162456-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light near resident of Shri Virendra Bahadur Singh S/o Sh. Vijay Bahadur Singh, Public Place, Pure Baisan Rahi, Bhelabela, Rahi, Rae Bareli at the request of Shri Pankaj Tiwari, Mob: 9235454774",2024-12-30,2025-02-19,51,19981.0,Vendor Identification,3
14811,WS/MP18346/2024-2025/162457-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Shri Suresh Kumar Babu S/o Sh. Ramkumar Verma, Public Place, Village Kanauli, Post Majorganj, Kanauli, Rahi, Rae Bareli at the request of  Shri Suresh Kumar Babu S/o Sh. Ramkumar Verma. Mob: 9219976038",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14812,WS/MP18346/2024-2025/162458-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Shri Shambu Prasad S/o Ramcharan, Public Place, Village Pure Nanda Majre, Belagusisi, Rahi, Rae Bareli at the request of Shri Shambu Prasad S/o Ramcharan, Mob: 8052075884",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14813,WS/MP18346/2024-2025/162459-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at premises of Sahkari Sangh Ltd. Public Place, Uttarpas, Belabela, Rahi, Rae Bareli at the request of Shri Amit Agnihotri, Mob: 9451368055",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14814,WS/MP18346/2024-2025/162460-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Shri Ram Prakat Sharma, Public Place, Belabela Uttarpara, Rahi, Rae Bareli at the request of Shri Ram Prakat, Mob: 9506314226",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14815,WS/MP18346/2024-2025/162461-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Shri Parmanand Sharma, Public Place, Belabela Uttarpara, Rahi, Rae Bareli at the request of Parmanand Sharma, Mob: 9506314226",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14816,WS/MP18346/2024-2025/162462-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near Tejas Tapas Auto Centre, Village Pure Hansa Belabela, Rahi, Rae Bareli at the request of Shri Ratnesh Kumar, Mob: 9648374751",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14817,WS/MP18346/2024-2025/162463-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at premises of Omkareshwar Mandir, Village Pure Matauli, Bhanv, Rahi, Rae Bareli at the request of Shri Ratnesh Mishra, Mob: 9696975976",2024-12-30,2025-02-19,51,19981.0,Vendor Identification,3
14818,WS/MP18346/2024-2025/162464-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at premises of Baba Teerathdas Bal Vidyamandir, Village Nandaurmafi Laxmiganj, Rohniya, Rae Bareli at the request of Shri Ravikant, Principal, Mob: 9415034485",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14819,WS/MP18346/2024-2025/162465-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Shri Shivkesh Dubey S/o Abhimanyu Dubey, Public Place, Village Kalyanpur, Didauli, Rohniya, Rae Bareli at the request of Shri Shivkesh Dubey S/o Abhimanyu Dubey, Mob: 8874123252",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14820,WS/MP18346/2024-2025/162466-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at premises of Shiv Mandir, Village Adobar, Harchandpur, Rae Bareli at the request of Rajendra Kumar S/o Ram Avtaar, Mob: 9305962292",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14821,WS/MP18346/2024-2025/162467-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light near Chauraha, Village Ghoori Chauraha, at the request of Shri Sarves Kumar, Mob: 8726664529",2024-12-30,2025-02-19,51,19199.0,Physical Inspection,0
14822,"WS/MP337/2026-2027/162468-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",Normal/Others,1,Karnataka,SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA),Shri B Y Raghavendra  (2024-2029),Elected MP,"Purchase of Tricycle Vehicle to Sri Basavaraja Ummannavar S/O Sahadevappa, Kanuru Ashreya Badavane, shikaripura Town Shikaripura",2024-12-30,2026-04-18,474,100000.0,Work partially Completed,5
14823,"WS/MP337/2026-2027/162469-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",Normal/Others,1,Karnataka,SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA),Shri B Y Raghavendra  (2024-2029),Elected MP,"Purchase of Tricycle Vehicle to Sri Satisha S S/O Shivamurthaiah, 12th Cross, Vinayakanagara, Shikaripura Town",2024-12-30,2026-04-18,474,100000.0,Vendor Identification,3
14824,WS/MP18008/2025-2026/162471-Providing drains and gutters for public drainage,Normal/Others,1,Andhra Pradesh,GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),Dr Chandra Sekhar Pemmasani (2024-2029),Elected MP,Providing RCC drain from Nulkapeta old Sachivalayam back side road to Chaitanya thapovanam rear side compound wall in ward no.13 Nulkapeta of Tadepalli under Mangalagiri-Tadepalli Municipal Corporation,2024-12-30,2026-03-31,456,2600000.0,Vendor Identification,3
14825,WS/MP18008/2026-2027/162476-Construction of boundary walls of existing public and community buildings,Normal/Others,1,Andhra Pradesh,GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),Dr Chandra Sekhar Pemmasani (2024-2029),Elected MP,Construction of retaining wall near Foot over bridge in Morampudi(V) of Duggirala(M),2024-12-30,2026-08-13,591,200000.0,Sanction,1
14826,WS/MP18008/2025-2026/162477-Providing drains and gutters for public drainage,Normal/Others,1,Andhra Pradesh,GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),Dr Chandra Sekhar Pemmasani (2024-2029),Elected MP,Construction of RCC outfall drain to vegetable market road from TIDCO houses to Goutham Budha road in Mangalagiri-Tadepalli Municipal Corporation,2024-12-30,2025-11-07,312,2748536.0,Physical Inspection,0
14827,WS/MP18008/2025-2026/162479-Construction of boundary walls of existing public and community buildings,Normal/Others,1,Andhra Pradesh,GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),Dr Chandra Sekhar Pemmasani (2024-2029),Elected MP,Construction of retaining wall near Gangamma Talli temple area in Tadiboinavaripalem(H) in Chukkalapallivaripalem(V) of Duggirala(M),2024-12-30,2026-01-27,393,905074.0,Physical Inspection,0
14828,WS/MP18346/2024-2025/162480-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Sh. Anil Mishra, Public Place, 874, Amawan Road, Ward No. 7 Ratapur, Rae Bareli at the request of Sh. Anil Mishra, Mob: 9450059964",2025-01-01,2025-02-19,49,19199.0,Physical Inspection,0
14829,WS/MP18346/2024-2025/162481-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Smt. Varsha Singh W/o Mukesh Singh, Public Place, backside of ITI, Ram Bilas Nagar, Ward NO. 14, Rae Bareli at the request of  Smt. Varsha Singh W/o Mukesh Singh, Mob: 9984596003",2025-01-01,2025-02-19,49,19199.0,Physical Inspection,0
14830,WS/MP18346/2024-2025/162482-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at premises of Satyaprem Mandir, Ward No. 1 Chaturbujpur, Rae Bareli at the request of Shri Brijesh Srivastava, Mob: 7985152719",2025-01-01,2025-02-19,49,19199.0,Physical Inspection,0
14831,WS/MP18346/2024-2025/162483-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Shri Babban Kumar Tripathi S/o Late Shri Vishwanath Sharan Tripathi, Public Place, Archarya Dwivedi Nagar, War No. 26, Rae Bareli at the request of Shri Babban Kumar Tripathi, Mob: 9415952223",2025-01-01,2025-02-19,49,19981.0,Vendor Identification,3
14832,WS/MP18346/2024-2025/162484-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Smt. Suman Verma w/o Dilip Kumar, Public Place, Archarya Dwivedi Nagar, Near CMO Office Jail Road, Ward No. Chakhahmadpur Najul at the request of Shri Pankaj Tiwari, Mob: 9519536304",2025-01-01,2025-02-19,49,19199.0,Physical Inspection,0
14833,WS/MP18346/2024-2025/162485-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Ms. Gayatri D/o Vipat, Public Place, Balapur, Near ITI, Durbash Nagar, Ward No. 1, Balapur, Rae Bareli at the request of Ms. Gayatri, Mob: 7617840277",2025-01-01,2025-02-19,49,19199.0,Physical Inspection,0
14834,WS/MP18346/2024-2025/162486-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at Safiya Bano Girls School, Tiliya Kot Shahr, Ward No. 23, Tiliya Kot Shahr, Rae Bareli at the request of Mushtauddin Ahmad, Manager, Mob: 9140222475",2025-01-01,2025-02-19,49,19199.0,Physical Inspection,0
14835,WS/MP18346/2024-2025/162487-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Shri Vinod Dwivedi, Adv., Public Place, Nahariya Road, Ward no. 2, Ahiya Raipur, Rae Bareli at the request of Shri Vinod Dwivedi, Adv., Mob: 9889356455",2025-01-01,2025-02-19,49,19199.0,Physical Inspection,0
14836,WS/MP18346/2024-2025/162488-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at near resident of Ms. Kiran Mishra, Public Place, Subhash Nagar, Rana Nagar, Kanpur Road, Ward no. 20, Amreshpuri, Raebareli at the request of  Ms. Kiran Mishra, Mob: 8318158374",2025-01-01,2025-02-19,49,19199.0,Physical Inspection,0
14837,WS/MP18346/2024-2025/162489-Purchase of non-conventional energy system and devices for community use,Normal/Others,1,Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI (2024-2029),Elected MP,"Installation of Solar Light at Premises of Someshwar Mahadev Mandir, L-253, Indira Nagar, Ward No. 26, Rae Bareli at the request of Shri Santosh Kumar Shukla, Mob: 9450063361",2025-01-01,2025-02-19,49,19199.0,Physical Inspection,0
14838,WS/MP632/2025-2026/162491-Development of playfields and sports grounds,Normal/Others,1,Kerala,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Anto Antony (2024-2029),Elected MP,Construction of Drain and Interlocking yard near Volley Ball Court at Mallappuzhassery Grama Panchayat. (Ward No:10),2024-12-30,2025-11-10,315,500000.0,Sanction,1
14839,"WS/MP18041/2024-2025/162504-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Bihar,PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA),RAJESH RANJAN ALIAS PAPPU YADAV (2024-2029),Elected MP,"WARD N0. – 35, CHANDAN CHAUDHARY KE GHAR KE PAAS P.C.C. DHALAI SE DHURAV KUMAR THAKUR KE GHAR KI OR JANE WALI SADAK ME P.C.C. NIRMAN KARY",2024-12-30,2025-01-11,12,1487023.0,Physical Inspection,0
14840,"WS/MP18041/2024-2025/162505-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Bihar,PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA),RAJESH RANJAN ALIAS PAPPU YADAV (2024-2029),Elected MP,"WARD NO.- 14, SHANTI BHAWAN SE SHAMBHU KE GHAR HOTE HUE NALA TAK P.C.C. SADAK NIRMAN KARY",2024-12-30,2025-01-11,12,801197.0,Physical Inspection,0
14841,"WS/MP18041/2024-2025/162506-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Bihar,PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA),RAJESH RANJAN ALIAS PAPPU YADAV (2024-2029),Elected MP,"WARD NO. 18, COURT STATION ROAD KE PRADIP CHAUDHARY KE GHAR SE AJAY SINGH KE GHAR TAK P.C.C. SADAK NIRMAN KARY",2024-12-30,2025-01-11,12,249694.0,Physical Inspection,0
14842,"WS/MP18041/2024-2025/162507-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Bihar,PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA),RAJESH RANJAN ALIAS PAPPU YADAV (2024-2029),Elected MP,"NAGAR NIGAM WARD NO.- 10, MEN NAYA TOLA MILKI RAJ KUMAR CHAUDHARY KE GHAR SE KUMAR RANJAN KE GHAR KI OR JANE WALI SADAK ME 500 FEET P.C.C. SADAK NIRMAN KARY",2024-12-30,2025-01-11,12,1486904.0,Physical Inspection,0
14843,WS/MP719/2025-2026/162511-Construction of community centers and community halls,Normal/Others,1,Rajasthan,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary (2024-2029),Elected MP,"CONSTRUCTION OF COMMUNITY HALL, NEAR SHIVMANDIR VILLAGE TIHARI",2024-12-30,2025-05-12,133,499989.0,Physical Inspection,0
14844,WS/MP18325/2024-2025/162512-Fitting of Sitting RCC Benches in Public Places,Normal/Others,1,Gujarat,BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA),NIMUBEN JAYANTIBHAI BAMBHANIYA (2024-2029),Elected MP,"Distribution of bench (total 140 Nos) are as follow :-  Gadhula - 20, Aambla - 25, Fulsar - 25, Rajpara (2) - 25 & Reliya Gopnath - 45",2024-12-30,2025-02-21,53,500000.0,Physical Inspection,0
14845,WS/MP18325/2024-2025/162513-Fitting of Sitting RCC Benches in Public Places,Normal/Others,1,Gujarat,BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA),NIMUBEN JAYANTIBHAI BAMBHANIYA (2024-2029),Elected MP,"Distribution of Bench (Total-140 Nos) are as follow:- Gorkhi-30, Velavadar-25, Dihor-25, Mathavada-30 & Bhajapara-30",2024-12-30,2025-02-21,53,500000.0,Physical Inspection,0
